model,assignment,cell_group,question_id,round,emotion,personality,passed,total,role,sentiment_negative
qwen2_5_1_5b,shared54,worst,1873_A,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,1873_D,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,1883_B,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,1883_C,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,1899_B,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2777,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2784,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2784,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2784,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2808,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2811,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2812,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2816,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2817,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2825,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,2833,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2833,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2833,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2847,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2849,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2868,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2870,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2882,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2886,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,2886,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2902,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2915,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2919,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,2921,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2952,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2954,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,2954,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2955,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2955,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2977,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,2998,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3024,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3025,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3032,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3044,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3055,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3055,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3166,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3188,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3192,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3193,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3193,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3195,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3195,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3203,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3213,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3220,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3223,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3223,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3223,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3225,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3229,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3243,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3246,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3246,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3249,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3249,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3251,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3251,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3261,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3263,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3263,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3265,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3269,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3298,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3298,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3312,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3324,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3329,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3345,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3345,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3345,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3362,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3362,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3362,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3388,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3394,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3402,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3402,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3402,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3408,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3412,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3421,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3426,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3464,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3464,1,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3471,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3476,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3478,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3490,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3495,0,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3496,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3496,1,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3496,2,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3510,0,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3510,1,anger,LLL,12,282,reviewer,1
qwen2_5_1_5b,shared54,worst,3510,2,anger,LLL,12,282,reviewer,0
qwen2_5_1_5b,shared54,worst,3515,0,anger,LLL,12,282,reviewer,0
