model,assignment,emotion,instances,passed,revised,overrevised,pass_rate,revision_rate,overrevision_rate
qwen2_5_1_5b,shared54,fear,2538,212,1433,0,0.08353033884948778,0.5646178092986603,0.0
qwen2_5_1_5b,shared54,anger,2538,200,999,0,0.07880220646178093,0.39361702127659576,0.0
qwen2_5_1_5b,shared54,sadness,2538,205,1155,0,0.08077226162332546,0.45508274231678486,0.0
qwen2_5_1_5b,shared54,disgust,2538,222,1286,0,0.08747044917257683,0.5066981875492513,0.0
qwen2_5_1_5b,shared54,neutral,2538,200,860,0,0.07880220646178093,0.338849487785658,0.0
qwen2_5_1_5b,shared54,happiness,2538,205,862,0,0.08077226162332546,0.3396375098502758,0.0
llama_3_1_8b,shared54,fear,2538,319,2375,245,0.12568951930654057,0.9357762017336485,0.09653270291568164
llama_3_1_8b,shared54,anger,2538,324,2290,185,0.1276595744680851,0.9022852639873916,0.07289204097714735
llama_3_1_8b,shared54,sadness,2538,342,2227,171,0.1347517730496454,0.8774625689519306,0.0673758865248227
llama_3_1_8b,shared54,disgust,2538,328,2202,151,0.12923561859732072,0.8676122931442081,0.059495665878644605
llama_3_1_8b,shared54,neutral,2538,383,2124,76,0.15090622537431048,0.8368794326241135,0.029944838455476755
llama_3_1_8b,shared54,happiness,2538,365,2129,65,0.1438140267927502,0.838849487785658,0.0256107171000788
mistral_small_3_24b_awq,shared54,fear,2538,765,2073,591,0.30141843971631205,0.8167848699763594,0.23286052009456265
mistral_small_3_24b_awq,shared54,anger,2538,723,1958,611,0.2848699763593381,0.7714736012608353,0.24074074074074073
mistral_small_3_24b_awq,shared54,sadness,2538,746,1969,521,0.29393223010244285,0.7758077226162332,0.2052797478329393
mistral_small_3_24b_awq,shared54,disgust,2538,765,1762,461,0.30141843971631205,0.69424743892829,0.18163908589440506
mistral_small_3_24b_awq,shared54,neutral,2538,767,1672,365,0.30220646178092986,0.6587864460204885,0.1438140267927502
mistral_small_3_24b_awq,shared54,happiness,2538,796,1517,256,0.3136327817178881,0.5977147360126084,0.1008668242710796
qwen2.5-32b-awq,shared54,fear,2538,1017,1908,482,0.40070921985815605,0.75177304964539,0.18991331757289204
qwen2.5-32b-awq,shared54,anger,2538,1003,1709,302,0.3951930654058314,0.6733648542159181,0.11899133175728921
qwen2.5-32b-awq,shared54,sadness,2538,1032,1758,357,0.4066193853427896,0.6926713947990544,0.14066193853427897
qwen2.5-32b-awq,shared54,disgust,2538,1015,1609,237,0.39992119779353824,0.6339637509850276,0.0933806146572104
qwen2.5-32b-awq,shared54,neutral,2538,1044,1485,118,0.41134751773049644,0.5851063829787234,0.046493301812450746
qwen2.5-32b-awq,shared54,happiness,2538,1058,1453,111,0.4168636721828211,0.5724980299448384,0.04373522458628842
overall,shared54,fear,10152,2313,7789,1318,0.22783687943262412,0.7672379826635146,0.12982663514578408
overall,shared54,anger,10152,2250,6956,1098,0.22163120567375885,0.6851851851851852,0.10815602836879433
overall,shared54,sadness,10152,2325,7109,1049,0.22901891252955084,0.7002561071710008,0.10332939322301024
overall,shared54,disgust,10152,2330,6859,849,0.22951142631993696,0.6756304176516943,0.08362884160756501
overall,shared54,neutral,10152,2394,6141,559,0.23581560283687944,0.6049054373522459,0.05506304176516943
overall,shared54,happiness,10152,2424,5961,432,0.23877068557919623,0.5871749408983451,0.0425531914893617
