model,assignment,cell_group,question_id,round,emotion,personality,bleu,role,sentiment_negative
qwen2_5_1_5b,shared54,worst,3648,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3648,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,819,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9012,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9012,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9012,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9012,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,8024,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,8024,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,8024,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,8024,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7314,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7314,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7314,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7314,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,4572,0,fear,LHL,6.209966843501325,writer1,1
qwen2_5_1_5b,shared54,worst,4572,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,4572,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,4572,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3358,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3358,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3358,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3358,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,17870,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,17870,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,17870,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,17870,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,2848,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,2848,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,2848,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,2848,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13825,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13825,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13825,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13825,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,1041,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,976,0,fear,LHL,6.209966843501325,writer1,1
qwen2_5_1_5b,shared54,worst,976,1,fear,LHL,6.209966843501325,writer1,1
qwen2_5_1_5b,shared54,worst,976,2,fear,LHL,6.209966843501325,writer1,1
qwen2_5_1_5b,shared54,worst,976,3,fear,LHL,6.209966843501325,writer1,1
qwen2_5_1_5b,shared54,worst,3070,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3070,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3070,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3070,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7164,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7164,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7164,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7164,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7623,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7623,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7623,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7623,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,16559,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,16559,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,16559,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,16559,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,869,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,869,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,869,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,869,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,6515,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,6515,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,6515,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,6515,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,17856,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,17856,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,17856,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,17856,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13746,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13746,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13746,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13746,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7223,0,fear,LHL,6.209966843501325,writer1,1
qwen2_5_1_5b,shared54,worst,14719,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,14719,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,14719,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,14719,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9115,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9115,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9115,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9115,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,212,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,5231,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,5231,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,5231,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,5231,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13848,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13848,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13848,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,13848,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,11149,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,11149,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9105,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9105,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9105,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,9105,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,5094,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,5094,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,5094,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,5094,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7055,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7055,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7055,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,7055,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,11029,0,fear,LHL,6.209966843501325,writer1,1
qwen2_5_1_5b,shared54,worst,11029,1,fear,LHL,6.209966843501325,writer1,1
qwen2_5_1_5b,shared54,worst,11029,2,fear,LHL,6.209966843501325,writer1,1
qwen2_5_1_5b,shared54,worst,11029,3,fear,LHL,6.209966843501325,writer1,1
qwen2_5_1_5b,shared54,worst,3349,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3039,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3039,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3039,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3039,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,12449,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,12449,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,12449,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,12449,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3169,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3169,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3169,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,3169,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,11763,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,11763,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,11763,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,11270,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,11270,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,11270,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,11270,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,8667,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,8667,1,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,8667,2,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,8667,3,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,1423,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,15054,0,fear,LHL,6.209966843501325,writer1,0
qwen2_5_1_5b,shared54,worst,17571,0,fear,LHL,6.209966843501325,writer1,0
