model,assignment,cell_group,emotion,personality,bleu,role,messages,negative_fraction,negative_messages,nonnegative_messages
llama_3_1_8b,shared54,best,disgust,LLL,6.758838196286471,supervisor,1484,0.2486522911051213,369,1115
llama_3_1_8b,shared54,best,disgust,LLL,6.758838196286471,writer1,1484,0.17722371967654987,263,1221
llama_3_1_8b,shared54,best,disgust,LLL,6.758838196286471,writer2,1326,0.19909502262443438,264,1062
llama_3_1_8b,shared54,worst,neutral,LHH,5.685115826702034,supervisor,1487,0.3073301950235373,457,1030
llama_3_1_8b,shared54,worst,neutral,LHH,5.685115826702034,writer1,1485,0.1892255892255892,281,1204
llama_3_1_8b,shared54,worst,neutral,LHH,5.685115826702034,writer2,1267,0.18468823993685873,234,1033
mistral_small_3_24b_awq,shared54,best,neutral,LLH,7.314093280282935,supervisor,1377,0.15250544662309368,210,1167
mistral_small_3_24b_awq,shared54,best,neutral,LLH,7.314093280282935,writer1,927,0.13700107874865156,127,800
mistral_small_3_24b_awq,shared54,best,neutral,LLH,7.314093280282935,writer2,885,0.23389830508474577,207,678
mistral_small_3_24b_awq,shared54,worst,fear,HHL,6.38377807250221,supervisor,1432,0.18994413407821228,272,1160
mistral_small_3_24b_awq,shared54,worst,fear,HHL,6.38377807250221,writer1,1025,0.13073170731707318,134,891
mistral_small_3_24b_awq,shared54,worst,fear,HHL,6.38377807250221,writer2,856,0.2102803738317757,180,676
qwen2.5-32b-awq,shared54,best,neutral,HLH,7.556580901856765,supervisor,501,0.12974051896207583,65,436
qwen2.5-32b-awq,shared54,best,neutral,HLH,7.556580901856765,writer1,486,0.09465020576131687,46,440
qwen2.5-32b-awq,shared54,best,neutral,HLH,7.556580901856765,writer2,470,0.13829787234042554,65,405
qwen2.5-32b-awq,shared54,worst,happiness,HLH,6.619916445623343,supervisor,632,0.16930379746835442,107,525
qwen2.5-32b-awq,shared54,worst,happiness,HLH,6.619916445623343,writer1,533,0.13133208255159476,70,463
qwen2.5-32b-awq,shared54,worst,happiness,HLH,6.619916445623343,writer2,578,0.15916955017301038,92,486
qwen2_5_1_5b,shared54,best,anger,HLL,6.725211317418214,supervisor,962,0.1257796257796258,121,841
qwen2_5_1_5b,shared54,best,anger,HLL,6.725211317418214,writer1,960,0.057291666666666664,55,905
qwen2_5_1_5b,shared54,best,anger,HLL,6.725211317418214,writer2,962,0.07796257796257797,75,887
qwen2_5_1_5b,shared54,worst,fear,LHL,6.209966843501325,supervisor,1266,0.1263823064770932,160,1106
qwen2_5_1_5b,shared54,worst,fear,LHL,6.209966843501325,writer1,1256,0.08200636942675159,103,1153
qwen2_5_1_5b,shared54,worst,fear,LHL,6.209966843501325,writer2,1266,0.11058451816745656,140,1126
