model,assignment,writer1_profile,writer2_profile,supervisor_profile,bleu
llama_3_1_8b,mixed24,HLL_neutral,HLL_neutral,LHH_fear,6.6411821396993815
llama_3_1_8b,mixed24,HLL_neutral,HLL_neutral,LLL_disgust,6.410068523430592
llama_3_1_8b,mixed24,HLL_neutral,LHH_fear,HLL_neutral,5.878591954022988
llama_3_1_8b,mixed24,HLL_neutral,LHH_fear,LHH_fear,6.356802387267904
llama_3_1_8b,mixed24,HLL_neutral,LHH_fear,LLL_disgust,6.052492926613616
llama_3_1_8b,mixed24,HLL_neutral,LLL_disgust,HLL_neutral,6.149900530503978
llama_3_1_8b,mixed24,HLL_neutral,LLL_disgust,LHH_fear,6.248279840848807
llama_3_1_8b,mixed24,HLL_neutral,LLL_disgust,LLL_disgust,6.199711759504862
llama_3_1_8b,mixed24,LHH_fear,HLL_neutral,HLL_neutral,5.8764500442086645
llama_3_1_8b,mixed24,LHH_fear,HLL_neutral,LHH_fear,6.135118037135278
llama_3_1_8b,mixed24,LHH_fear,HLL_neutral,LLL_disgust,5.675110079575597
llama_3_1_8b,mixed24,LHH_fear,LHH_fear,HLL_neutral,5.78408267020336
llama_3_1_8b,mixed24,LHH_fear,LHH_fear,LLL_disgust,6.195198938992043
llama_3_1_8b,mixed24,LHH_fear,LLL_disgust,HLL_neutral,5.817494694960212
llama_3_1_8b,mixed24,LHH_fear,LLL_disgust,LHH_fear,6.611937665782493
llama_3_1_8b,mixed24,LHH_fear,LLL_disgust,LLL_disgust,6.012658709106985
llama_3_1_8b,mixed24,LLL_disgust,HLL_neutral,HLL_neutral,6.380295313881521
llama_3_1_8b,mixed24,LLL_disgust,HLL_neutral,LHH_fear,6.778149425287356
llama_3_1_8b,mixed24,LLL_disgust,HLL_neutral,LLL_disgust,6.338206012378426
llama_3_1_8b,mixed24,LLL_disgust,LHH_fear,HLL_neutral,6.083305923961096
llama_3_1_8b,mixed24,LLL_disgust,LHH_fear,LHH_fear,6.593034482758621
llama_3_1_8b,mixed24,LLL_disgust,LHH_fear,LLL_disgust,6.624683908045976
llama_3_1_8b,mixed24,LLL_disgust,LLL_disgust,HLL_neutral,6.351171971706454
llama_3_1_8b,mixed24,LLL_disgust,LLL_disgust,LHH_fear,6.679241379310345
mistral_small_3_24b_awq,mixed24,LLH_anger,LLH_anger,LLH_neutral,7.0121038903625115
mistral_small_3_24b_awq,mixed24,LLH_anger,LLH_anger,LLL_sadness,7.354860742705569
mistral_small_3_24b_awq,mixed24,LLH_anger,LLH_neutral,LLH_anger,7.286879310344827
mistral_small_3_24b_awq,mixed24,LLH_anger,LLH_neutral,LLH_neutral,7.121131741821396
mistral_small_3_24b_awq,mixed24,LLH_anger,LLH_neutral,LLL_sadness,6.887561007957559
mistral_small_3_24b_awq,mixed24,LLH_anger,LLL_sadness,LLH_anger,7.018923076923077
mistral_small_3_24b_awq,mixed24,LLH_anger,LLL_sadness,LLH_neutral,7.117184350132626
