model,assignment,emotion,instances,revised,revision_rate
qwen2_5_1_5b,shared54,fear,3393,2759,0.8131447096964338
qwen2_5_1_5b,shared54,anger,3393,2756,0.8122605363984674
qwen2_5_1_5b,shared54,sadness,3393,2398,0.7067491895078102
qwen2_5_1_5b,shared54,disgust,3393,2824,0.8323017978190392
qwen2_5_1_5b,shared54,neutral,3393,2252,0.6637194223401119
qwen2_5_1_5b,shared54,happiness,3393,1737,0.5119363395225465
llama_3_1_8b,shared54,fear,3393,3365,0.9917477158856469
llama_3_1_8b,shared54,anger,3393,3358,0.9896846448570586
llama_3_1_8b,shared54,sadness,3393,3332,0.9820218096080165
llama_3_1_8b,shared54,disgust,3393,3349,0.9870321249631594
llama_3_1_8b,shared54,neutral,3393,3342,0.9849690539345711
llama_3_1_8b,shared54,happiness,3393,3260,0.9608016504568229
mistral_small_3_24b_awq,shared54,fear,3393,3225,0.9504862953138815
mistral_small_3_24b_awq,shared54,anger,3393,3157,0.9304450338933098
mistral_small_3_24b_awq,shared54,sadness,3393,3051,0.8992042440318302
mistral_small_3_24b_awq,shared54,disgust,3393,3181,0.937518420277041
mistral_small_3_24b_awq,shared54,neutral,3393,3167,0.9333922782198645
mistral_small_3_24b_awq,shared54,happiness,3393,3040,0.8959622752726201
qwen2.5-32b-awq,shared54,fear,3393,2235,0.6587091069849691
qwen2.5-32b-awq,shared54,anger,3393,1910,0.5629236663719422
qwen2.5-32b-awq,shared54,sadness,3393,1892,0.5576186265841439
qwen2.5-32b-awq,shared54,disgust,3393,2698,0.7951665193044504
qwen2.5-32b-awq,shared54,neutral,3393,1537,0.452991452991453
qwen2.5-32b-awq,shared54,happiness,3393,1760,0.5187150014736222
overall,shared54,fear,13572,11584,0.8535219569702328
overall,shared54,anger,13572,11181,0.8238284703801945
overall,shared54,sadness,13572,10673,0.7863984674329502
overall,shared54,disgust,13572,12052,0.8880047155909225
overall,shared54,neutral,13572,10298,0.7587680518715001
overall,shared54,happiness,13572,9797,0.7218538166814029
